Time,Player 1 Position,Smooth FPS,Frame FPS,Smooth MS,Frame MS,Server Frame MS
1,setpos 367.00 120.00 130.03 ; setang 0.00 170.12 0.00,347, 11, 2.6,89.5,  2.8
2,setpos 450.00 104.00 130.03 ; setang 0.00 170.12 0.00,261,  2, 2.8,422.2,  1.5
3,setpos 642.00 118.00 130.03 ; setang 0.00 170.12 0.00,242,  8, 3.1,124.2,  1.7
4,setpos 479.00 416.00 130.03 ; setang 0.00 170.12 0.00,503,  8, 3.5,111.1,  1.7
5,setpos 480.00 487.00 130.03 ; setang 0.00 170.12 0.00,322,  9, 3.9,109.0,  2.2
6,setpos 642.00 822.00 130.03 ; setang 0.00 170.12 0.00,447,  9, 4.3,111.0,  1.7
7,setpos 621.00 851.00 130.03 ; setang 0.00 170.12 0.00,317,  9, 4.7,109.0,  1.5
8,setpos 444.00 781.00 130.03 ; setang 0.00 170.12 0.00,217,  8, 5.2,111.2,  1.6
9,setpos 261.00 896.00 130.03 ; setang 0.00 170.12 0.00,117,  9, 5.8,106.8,  1.5
10,setpos 160.00 739.00 130.03 ; setang 0.00 170.12 0.00,147,  9, 6.4,109.4,  1.9
11,setpos 110.00 586.00 130.03 ; setang 0.00 170.12 0.00,311,  9, 7.0,109.2,  1.4
